"","Treatment","Day","N","N20","sd","se","ci"
"88","Negative Control","-1",4,1.36375317425,2.33803527368854,1.16901763684427,3.72033585918654
"89","Negative Control","0",4,3.723169814,2.57056369686134,1.28528184843067,4.0903404697864
"90","Negative Control","12",4,1.69347918975,2.85789122193591,1.42894561096796,4.54754268007634
"91","Negative Control","15",4,1.98150866575,3.99260340978951,1.99630170489475,6.35312298497387
"92","Negative Control","18",4,3.33831310475,6.7761870147951,3.38809350739755,10.782425664573
"93","Negative Control","21",4,1.11937529175,1.9741732870602,0.987086643530098,3.14135024169726
"94","Negative Control","24",4,1.07983938175,1.28125134047036,0.640625670235178,2.03875679730984
"95","Negative Control","27",4,0.64672120225,0.981948850940514,0.490974425470257,1.56249974632661
"96","Negative Control","3",4,6.1558994595,9.90088399178836,4.95044199589418,15.7545158393547
"97","Negative Control","30",4,0.28244815975,0.448356687257375,0.224178343628688,0.713435541405739
"98","Negative Control","33",4,0.04825990725,0.104927897569755,0.0524639487848776,0.166963699971027
"99","Negative Control","35",4,0.67512178875,1.48478855359447,0.742394276797233,2.36262992325712
"100","Negative Control","36",4,0.17914697125,0.177841976510254,0.0889209882551272,0.282986270534705
"101","Negative Control","37",4,0.04576270225,0.3941036988304,0.1970518494152,0.627106930120725
"102","Negative Control","38",4,0.64626649275,1.29049178535448,0.64524589267724,2.05346040715017
"103","Negative Control","39",4,-0.052196919,0.700307009438562,0.350153504719281,1.11434472737602
"104","Negative Control","40",4,-0.44971673675,0.616447407608674,0.308223703804337,0.980905387372972
"105","Negative Control","41",4,0.30530974025,0.279692640958099,0.139846320479049,0.445053405916072
"106","Negative Control","42",4,0.34377945425,0.294017308846486,0.147008654423243,0.467847149113979
"107","Negative Control","44",4,0.24945530475,0.257116872906971,0.128558436453486,0.409130321104445
"108","Negative Control","45",4,0.4698730775,0.231104562834164,0.115552281417082,0.367738931062896
"109","Negative Control","46",4,0.241577654,0.16507515737564,0.0825375786878202,0.262671412342117
"110","Negative Control","47",4,0.0590008205,0.180154849436925,0.0900774247184624,0.286666567484742
"111","Negative Control","48",4,1.09674981525,1.25012321300749,0.625061606503744,1.98922500019254
"112","Negative Control","49",4,0.37449260175,0.280074043837008,0.140037021918504,0.445660303007476
"113","Negative Control","50",4,0.424588432,0.387354375610652,0.193677187805326,0.616367250748798
"114","Negative Control","51",4,0.479308424,1.13671067738085,0.568355338690427,1.80876034770362
"115","Negative Control","6",4,3.4538507535,5.75961740749881,2.87980870374941,9.16483656917116
"116","Negative Control","9",4,3.9319497585,6.9041973507303,3.45209867536515,10.9861186748906
"117","Positive Control","-1",4,1.146479796,3.1801185432856,1.5900592716428,5.06027825422173
"118","Positive Control","0",4,2.3817760115,0.246404100689681,0.123202050344841,0.392083909923315
"119","Positive Control","12",4,0.42751983425,0.795980941529768,0.397990470764884,1.26658330322383
"120","Positive Control","15",4,0.86446238425,1.60461179633565,0.802305898167824,2.55329544133152
"121","Positive Control","18",4,1.07798244925,2.75726503278197,1.37863251639098,4.38742395813247
"122","Positive Control","21",4,1.03438775575,1.94697229915812,0.973486149579058,3.09806739997273
"123","Positive Control","24",4,0.845191162,1.56560500000361,0.782802500001803,2.49122692389759
"124","Positive Control","27",4,0.921870735,1.23534441750904,0.617672208754519,1.96570863862725
"125","Positive Control","3",4,4.70292613575,5.47856990589479,2.73928495294739,8.71762727762669
"126","Positive Control","30",4,1.3908575805,1.23300196370637,0.616500981853185,1.96198127190245
"127","Positive Control","33",4,2.143232789,1.78869498729969,0.894347493649843,2.84621287680569
"128","Positive Control","35",4,2.85722177925,2.05603783318983,1.02801891659491,3.27161500287925
"129","Positive Control","36",4,2.655397105,1.56385650458368,0.781928252291841,2.48844467750311
"130","Positive Control","37",4,7.0498904775,4.21569713880486,2.10784856940243,6.70811489179232
"131","Positive Control","38",4,8.45636653225,3.79232694598998,1.89616347299499,6.03443843884682
"132","Positive Control","39",4,14.532107087,8.01410578394378,4.00705289197189,12.7522306711323
"133","Positive Control","40",4,26.7654117925,8.46499651875362,4.23249825937681,13.4696984476735
"134","Positive Control","41",4,38.218027215,10.622672318861,5.31133615943049,16.9030421366993
"135","Positive Control","42",4,98.072571375,40.1033835845276,20.0516917922638,63.8134324589776
"136","Positive Control","44",4,107.456841025,42.1775702207085,21.0887851103543,67.113926257369
"137","Positive Control","45",4,153.7168736225,44.2658243066914,22.1329121533457,70.4368045075839
"138","Positive Control","46",4,148.7173772275,47.9051191400124,23.9525595700062,76.2277347056542
"139","Positive Control","47",4,139.2888469375,68.4949618674047,34.2474809337024,108.990769162735
"140","Positive Control","48",4,205.68967716,91.193032702109,45.5965163510545,145.108464995222
"141","Positive Control","49",4,229.5772779925,101.752966855029,50.8764834275144,161.911676709721
"142","Positive Control","50",4,209.6729170425,171.368704693341,85.6843523466706,272.685850546289
"143","Positive Control","51",4,129.68899798,82.4283175070358,41.2141587535179,131.161847250509
"144","Positive Control","6",4,0.0968405595,0.2215959243067,0.11079796215335,0.352608565287892
"145","Positive Control","9",4,-0.15610680175,0.73031911168239,0.365159555841195,1.16210067932585
