"","Treatment","Genus","Phylum","N","Abundance","sd","se","ci"
"89","Positive Control","Sphingobacterium","Bacteroidetes",18,110,108.331734528172,25.5340347008571,53.8721041768048
"90","Antibacterial","Sphingobacterium","Bacteroidetes",21,191.142857142857,220.07982318111,48.025354698092,100.179134442198
"91","Negative Control","Steroidobacter","Gammaproteobacteria",20,0,0,0,0
"92","Antifungal","Steroidobacter","Gammaproteobacteria",17,14.1176470588235,19.6274118038433,4.76034658969063,10.091483961615
"93","Antibacterial+Antifungal","Steroidobacter","Gammaproteobacteria",19,16.0526315789474,23.3677690757793,5.36093389143773,11.2629041687967
"94","Antibacterial","Steroidobacter","Gammaproteobacteria",21,20.7619047619048,24.3657644286092,5.31704570759829,11.0911629934919
"95","Positive Control","Steroidobacter","Gammaproteobacteria",18,29.5,30.5984428669557,7.21212214832451,15.2162476577717
"96","Negative Control","unc_Alcaligenaceae","Betaproteobacteria",20,1.3,1.38031270293899,0.308647303397805,0.646006230339866
"97","Positive Control","unc_Alcaligenaceae","Betaproteobacteria",18,5.27777777777778,5.26705136346319,1.24145591198756,2.61924302230462
"98","Antibacterial","unc_Alcaligenaceae","Betaproteobacteria",21,13.3333333333333,15.2687043763816,3.33190445565105,6.95023090427035
"99","Antibacterial+Antifungal","unc_Alcaligenaceae","Betaproteobacteria",19,863.631578947368,1366.26364832164,313.442377540379,658.517999320135
"100","Antifungal","unc_Alcaligenaceae","Betaproteobacteria",17,1822.76470588235,1697.97881794105,411.820353907785,873.020150576286
"101","Negative Control","unc_Gemmatimonadaceae","Gemmatimonadetes",20,0,0,0,0
"102","Antifungal","unc_Gemmatimonadaceae","Gemmatimonadetes",17,7.47058823529412,9.90654863624829,2.40269096544531,5.09347731003855
"103","Antibacterial","unc_Gemmatimonadaceae","Gemmatimonadetes",21,8.23809523809524,12.8643101715745,2.80722262498241,5.85576378405105
"104","Antibacterial+Antifungal","unc_Gemmatimonadaceae","Gemmatimonadetes",19,9.36842105263158,14.5189934083132,3.33088552783003,6.99793081893801
"105","Positive Control","unc_Gemmatimonadaceae","Gemmatimonadetes",18,24.9444444444444,21.7755184235503,5.13253891371501,10.8287105539916
"106","Negative Control","unc_Longimicrobiaceae","Gemmatimonadetes",20,0,0,0,0
